pcap,frame,time,cmd_frame,session,cmd_dest,cmd_total_len,payload_len,video_type,data_len,sequence,hint,width_field,height_field,canvas_width,canvas_height,start_addr,end_addr,image_format,jpeg_soi_offset,jpeg_width,jpeg_height,vram_span
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8105,17.607553000,8103,0,52766560,67552,67552,3,67504,8118,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8111,17.624657000,8109,0,52834112,67552,67552,3,67504,8119,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8117,17.641519000,8115,0,52901664,67552,67552,3,67504,8120,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8123,17.659606000,8121,0,52969216,67552,67552,3,67504,8121,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8129,17.674793000,8127,0,53036768,67552,67552,3,67504,8122,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8135,17.709837000,8133,0,53104320,67552,67552,3,67504,8123,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8141,17.742671000,8139,0,53171872,67552,67552,3,67504,8124,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8147,17.775021000,8145,0,53239424,67552,67552,3,67504,8125,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8153,17.808394000,8151,0,53306976,67552,67552,3,67504,8126,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8159,17.828548000,8157,0,53374528,67552,67552,3,67504,8127,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8165,17.844382000,8163,0,53442080,67552,67552,3,67504,8128,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8171,17.858492000,8169,0,53509632,67552,67552,3,67504,8129,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8177,17.873247000,8175,0,53577184,46048,46048,7,46000,8130,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8183,17.889336000,8181,0,53623232,46048,46048,7,46000,8131,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8189,17.906130000,8187,0,53669280,46048,46048,7,46000,8132,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8195,17.939605000,8193,0,53715328,46048,46048,7,46000,8133,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8201,17.957096000,8199,0,53761376,46048,46048,7,46000,8134,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8207,17.973178000,8205,0,53807424,46048,46048,7,46000,8135,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8213,17.990245000,8211,0,53853472,46048,46048,7,46000,8136,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8219,18.007629000,8217,0,53899520,46048,46048,7,46000,8137,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8225,18.024201000,8223,0,53945568,46048,46048,7,46000,8138,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8231,18.044925000,8229,0,53991616,46048,46048,7,46000,8139,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8237,18.063849000,8235,0,54037664,46048,46048,7,46000,8140,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8243,18.077313000,8241,0,54083712,46048,46048,7,46000,8141,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8249,18.091524000,8247,0,54129760,46048,46048,7,46000,8142,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8255,18.108994000,8253,0,54175808,46048,46048,7,46000,8143,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8261,18.125181000,8259,0,54221856,46048,46048,7,46000,8144,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8267,18.139743000,8265,0,54267904,46048,46048,7,46000,8145,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8273,18.156763000,8271,0,54313952,46048,46048,7,46000,8146,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8279,18.173683000,8277,0,54360000,46048,46048,7,46000,8147,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8285,18.191809000,8283,0,54406048,46048,46048,7,46000,8148,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8291,18.207764000,8289,0,54452096,46048,46048,7,46000,8149,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8297,18.225032000,8295,0,54498144,46048,46048,7,46000,8150,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8303,18.240195000,8301,0,54544192,46048,46048,7,46000,8151,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8309,18.257649000,8307,0,54590240,46048,46048,7,46000,8152,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8315,18.273806000,8313,0,54636288,46048,46048,7,46000,8153,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8321,18.292840000,8319,0,54682336,46048,46048,7,46000,8154,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8327,18.308826000,8325,0,54728384,46048,46048,7,46000,8155,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8333,18.327585000,8331,0,54774432,46048,46048,7,46000,8156,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8339,18.340888000,8337,0,54820480,46048,46048,7,46000,8157,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8345,18.359310000,8343,0,54866528,46048,46048,7,46000,8158,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8351,18.374379000,8349,0,54912576,46048,46048,7,46000,8159,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8357,18.391936000,8355,0,54958624,46048,46048,7,46000,8160,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8363,18.406740000,8361,0,55004672,46048,46048,7,46000,8161,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8369,18.423833000,8367,0,55050720,46048,46048,7,46000,8162,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8375,18.439485000,8373,0,55096768,46048,46048,7,46000,8163,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8381,18.458304000,8379,0,55142816,46048,46048,7,46000,8164,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8387,18.472463000,8385,0,55188864,46048,46048,7,46000,8165,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8434,18.490388000,8432,0,55234912,46048,46048,7,46000,8166,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8462,18.506913000,8460,0,55280960,46048,46048,7,46000,8167,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8494,18.526869000,8492,0,55327008,46048,46048,7,46000,8168,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8500,18.542785000,8498,0,55373056,46048,46048,7,46000,8169,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8536,18.555785000,8534,0,55419104,46048,46048,7,46000,8170,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,8561,18.573006000,8559,0,55465152,46048,46048,7,46000,8171,6,1920,736,1920,1920,48,2089008,13,48,1920,736,2088960
